"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"France (FR)","01.11.2021 09:00 - 01.11.2021 10:00 (CET/CEST)","359","n/e","n/e","n/e","2107","36","208","n/e","n/e","n/e","","1014","3404","918","n/e","38918","n/e","n/e","1524","262","n/e","7006"
"France (FR)","01.11.2021 10:00 - 01.11.2021 11:00 (CET/CEST)","358","n/e","n/e","n/e","2101","36","208","n/e","n/e","n/e","","1681","3461","740","n/e","39709","n/e","n/e","2665","257","n/e","7419"
"France (FR)","01.11.2021 11:00 - 01.11.2021 12:00 (CET/CEST)","358","n/e","n/e","n/e","2101","37","208","n/e","n/e","n/e","","2403","3442","717","n/e","39215","n/e","n/e","3696","253","n/e","8056"
"France (FR)","01.11.2021 12:00 - 01.11.2021 13:00 (CET/CEST)","358","n/e","n/e","n/e","2104","36","208","n/e","n/e","n/e","","2264","3440","791","n/e","38181","n/e","n/e","4316","249","n/e","8630"
"France (FR)","01.11.2021 13:00 - 01.11.2021 14:00 (CET/CEST)","355","n/e","n/e","n/e","2113","33","209","n/e","n/e","n/e","","2194","3303","947","n/e","37162","n/e","n/e","4302","251","n/e","8784"
"France (FR)","01.11.2021 14:00 - 01.11.2021 15:00 (CET/CEST)","355","n/e","n/e","n/e","2128","34","209","n/e","n/e","n/e","","2465","3248","1084","n/e","36451","n/e","n/e","3673","244","n/e","7723"
"France (FR)","01.11.2021 15:00 - 01.11.2021 16:00 (CET/CEST)","358","n/e","n/e","n/e","2291","29","208","n/e","n/e","n/e","","1086","3230","1232","n/e","36850","n/e","n/e","2624","243","n/e","6475"
"France (FR)","01.11.2021 16:00 - 01.11.2021 17:00 (CET/CEST)","357","n/e","n/e","n/e","2649","24","209","n/e","n/e","n/e","","116","3388","1315","n/e","39361","n/e","n/e","1159","241","n/e","5515"
"France (FR)","01.11.2021 17:00 - 01.11.2021 18:00 (CET/CEST)","357","n/e","n/e","n/e","3325","17","207","n/e","n/e","n/e","892","","3477","1381","n/e","41309","n/e","n/e","290","243","n/e","5003"
"France (FR)","01.11.2021 18:00 - 01.11.2021 19:00 (CET/CEST)","353","n/e","n/e","n/e","4092","18","205","n/e","n/e","n/e","952","","3600","1554","n/e","41357","n/e","n/e","0","239","n/e","5165"
"France (FR)","01.11.2021 19:00 - 01.11.2021 20:00 (CET/CEST)","348","n/e","n/e","n/e","4300","18","205","n/e","n/e","n/e","1786","","3789","1607","n/e","41638","n/e","n/e","0","242","n/e","5191"
"France (FR)","01.11.2021 20:00 - 01.11.2021 21:00 (CET/CEST)","349","n/e","n/e","n/e","3959","14","206","n/e","n/e","n/e","1480","","3813","1026","n/e","41571","n/e","n/e","0","240","n/e","5342"
"France (FR)","01.11.2021 21:00 - 01.11.2021 22:00 (CET/CEST)","349","n/e","n/e","n/e","3639","12","207","n/e","n/e","n/e","364","","3721","932","n/e","41343","n/e","n/e","0","241","n/e","5391"
"France (FR)","01.11.2021 22:00 - 01.11.2021 23:00 (CET/CEST)","350","n/e","n/e","n/e","3586","8","206","n/e","n/e","n/e","637","","3762","1141","n/e","41216","n/e","n/e","0","241","n/e","5156"
"France (FR)","01.11.2021 23:00 - 02.11.2021 00:00 (CET/CEST)","339","n/e","n/e","n/e","3463","5","206","n/e","n/e","n/e","","280","3707","1078","n/e","40978","n/e","n/e","0","240","n/e","4908"
"France (FR)","02.11.2021 00:00 - 02.11.2021 01:00 (CET/CEST)","341","n/e","n/e","n/e","3067","4","206","n/e","n/e","n/e","","974","3539","966","n/e","41111","n/e","n/e","0","242","n/e","5073"
"France (FR)","02.11.2021 01:00 - 02.11.2021 02:00 (CET/CEST)","340","n/e","n/e","n/e","2445","5","207","n/e","n/e","n/e","","2270","3414","889","n/e","40566","n/e","n/e","0","243","n/e","5045"
