"Area","MTU","Biomass  - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite  - Actual Aggregated [MW]","Fossil Coal-derived gas  - Actual Aggregated [MW]","Fossil Gas  - Actual Aggregated [MW]","Fossil Hard coal  - Actual Aggregated [MW]","Fossil Oil  - Actual Aggregated [MW]","Fossil Oil shale  - Actual Aggregated [MW]","Fossil Peat  - Actual Aggregated [MW]","Geothermal  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Aggregated [MW]","Hydro Pumped Storage  - Actual Consumption [MW]","Hydro Run-of-river and poundage  - Actual Aggregated [MW]","Hydro Water Reservoir  - Actual Aggregated [MW]","Marine  - Actual Aggregated [MW]","Nuclear  - Actual Aggregated [MW]","Other  - Actual Aggregated [MW]","Other renewable  - Actual Aggregated [MW]","Solar  - Actual Aggregated [MW]","Waste  - Actual Aggregated [MW]","Wind Offshore  - Actual Aggregated [MW]","Wind Onshore  - Actual Aggregated [MW]"
"Spain (ES)","07.09.2021 01:00 - 07.09.2021 02:00 (CET/CEST)","419","n/e","0","0","5210","465","147","0","0","0","","45","483","1091","0","6944","56","97","75","259","0","9506"
"Spain (ES)","07.09.2021 02:00 - 07.09.2021 03:00 (CET/CEST)","416","n/e","0","0","5229","399","149","0","0","0","","420","481","550","0","6945","58","94","75","264","0","9412"
"Spain (ES)","07.09.2021 03:00 - 07.09.2021 04:00 (CET/CEST)","438","n/e","0","0","5522","404","151","0","0","0","","813","484","633","0","6945","59","94","75","267","0","9393"
"Spain (ES)","07.09.2021 04:00 - 07.09.2021 05:00 (CET/CEST)","442","n/e","0","0","5382","404","150","0","0","0","","946","484","525","0","6946","58","97","75","264","0","9274"
"Spain (ES)","07.09.2021 05:00 - 07.09.2021 06:00 (CET/CEST)","445","n/e","0","0","5345","439","153","0","0","0","","616","477","532","0","6947","58","96","75","265","0","9306"
"Spain (ES)","07.09.2021 06:00 - 07.09.2021 07:00 (CET/CEST)","452","n/e","0","0","6650","480","153","0","0","0","","287","502","1170","0","6947","59","95","75","266","0","8979"
"Spain (ES)","07.09.2021 07:00 - 07.09.2021 08:00 (CET/CEST)","446","n/e","0","0","7905","514","154","0","0","0","","235","546","2246","0","6951","59","96","75","266","0","8601"
"Spain (ES)","07.09.2021 08:00 - 07.09.2021 09:00 (CET/CEST)","444","n/e","0","0","8703","520","159","0","0","0","","0","575","2441","0","6955","55","97","552","271","0","7861"
"Spain (ES)","07.09.2021 09:00 - 07.09.2021 10:00 (CET/CEST)","445","n/e","0","0","9052","520","161","0","0","0","","0","565","2285","0","6955","57","92","2681","269","0","7123"
"Spain (ES)","07.09.2021 10:00 - 07.09.2021 11:00 (CET/CEST)","442","n/e","0","0","8306","520","159","0","0","0","","0","577","1809","0","6956","60","91","4866","274","0","7000"
"Spain (ES)","07.09.2021 11:00 - 07.09.2021 12:00 (CET/CEST)","436","n/e","0","0","8455","520","158","0","0","0","","13","568","1249","0","6954","58","92","6710","275","0","7536"
"Spain (ES)","07.09.2021 12:00 - 07.09.2021 13:00 (CET/CEST)","435","n/e","0","0","7051","520","158","0","0","0","","232","574","803","0","6949","56","99","8331","277","0","8625"
"Spain (ES)","07.09.2021 13:00 - 07.09.2021 14:00 (CET/CEST)","442","n/e","0","0","6850","520","159","0","0","0","","530","582","809","0","6941","57","98","8924","273","0","9578"
"Spain (ES)","07.09.2021 14:00 - 07.09.2021 15:00 (CET/CEST)","445","n/e","0","0","6751","520","156","0","0","0","","500","587","622","0","6939","58","99","9103","272","0","10322"
"Spain (ES)","07.09.2021 15:00 - 07.09.2021 16:00 (CET/CEST)","447","n/e","0","0","6227","520","156","0","0","0","","592","563","614","0","6935","56","99","9049","265","0","11002"
"Spain (ES)","07.09.2021 16:00 - 07.09.2021 17:00 (CET/CEST)","443","n/e","0","0","6486","505","155","0","0","0","","430","558","829","0","6934","59","101","8736","270","0","11355"
"Spain (ES)","07.09.2021 17:00 - 07.09.2021 18:00 (CET/CEST)","453","n/e","0","0","7025","497","154","0","0","0","","524","561","795","0","6934","60","107","8033","274","0","11430"
"Spain (ES)","07.09.2021 18:00 - 07.09.2021 19:00 (CET/CEST)","464","n/e","0","0","7900","520","154","0","0","0","","590","580","1215","0","6936","59","108","6142","273","0","11060"
