Code poste;Nom poste;FONCTION;Etat;Tension (kV);Longitude poste (DD);Latitude poste (DD);Géo-point poste (DD)
BACAL;BACALAN;Poste de transformation;EN EXPLOITATION;225kV;-0.5459533992591049;44.88232367338301;44.88232367338301, -0.5459533992591049
BAIGT;BAIGTS;Poste de transformation;EN EXPLOITATION;63kV;-0.8408775676848513;43.509963022979726;43.509963022979726, -0.8408775676848513
BAILL;BAILLEUL;Poste de transformation;EN EXPLOITATION;90kV;2.7235401128448067;50.73829337698021;50.73829337698021, 2.7235401128448067
BAIXA;BAIXAS;Poste de transformation;EN EXPLOITATION;400kV;2.8039673028469916;42.73241251103283;42.73241251103283, 2.8039673028469916
BALAN;BALAN (ARKEMA);Poste de transformation;EN EXPLOITATION;63kV;5.1005837704886625;45.845979036239996;45.845979036239996, 5.1005837704886625
BALAR;BALARUC;Poste de transformation;EN EXPLOITATION;225kV;3.7064376921796467;43.445953908284366;43.445953908284366, 3.7064376921796467
BANNE;BANNE (LA);Poste de transformation;EN EXPLOITATION;63kV;2.752252499382691;46.288476133332544;46.288476133332544, 2.752252499382691
BARCE;BARCELONNETTE;Poste de transformation;EN EXPLOITATION;63kV;6.62828129234148;44.379604493746264;44.379604493746264, 6.62828129234148
BARET;BARETTES;Poste de transformation;EN EXPLOITATION;90kV;0.7178494253434763;49.84144740117144;49.84144740117144, 0.7178494253434763
BARR6;BARROIR;Poste de transformation;EN EXPLOITATION;63kV;2.4857606364030564;49.26944977775635;49.26944977775635, 2.4857606364030564
BARTH;BARTHE (LA);Poste de transformation;EN EXPLOITATION;63kV;0.37321834829976874;43.088341860983036;43.088341860983036, 0.37321834829976874
BASIN;BASIN;Poste de transformation;EN EXPLOITATION;63kV;4.566726329833842;48.76947953457704;48.76947953457704, 4.566726329833842
BATZE;BATZENDORF;Poste de transformation;EN EXPLOITATION;225kV;7.724485282886339;48.79913843879809;48.79913843879809, 7.724485282886339
BAUDR;BAUDRY;Poste de transformation;EN EXPLOITATION;225kV;2.3067597045503145;48.87226557106184;48.87226557106184, 2.3067597045503145
BAYON;BAYON;Poste de transformation;EN EXPLOITATION;63kV;6.32913732820686;48.47609204385033;48.47609204385033, 6.32913732820686
BEC;BEC (LE);Poste de transformation;EN EXPLOITATION;63kV;4.310314252801217;45.390153451837115;45.390153451837115, 4.310314252801217
BEDA5;BEDARRIDES;Poste de transformation;EN EXPLOITATION;63kV;4.893141956707752;44.05976603482186;44.05976603482186, 4.893141956707752
BEFFE;BEFFES;Poste de transformation;EN EXPLOITATION;63kV;3.003411184195039;47.085433548499125;47.085433548499125, 3.003411184195039
BELEM;BELEM;Poste de transformation;EN EXPLOITATION;63kV;1.4004951931214207;43.09451399166207;43.09451399166207, 1.4004951931214207
BERAT;BERAT;Poste de transformation;EN EXPLOITATION;63kV;1.1991397092898466;43.38741342114387;43.38741342114387, 1.1991397092898466
BERMO;BERMONTS;Poste de transformation;EN EXPLOITATION;63kV;6.562472450590574;45.50432245276357;45.50432245276357, 6.562472450590574
